ihsani_150 || cape bgt liatnya😭😭
liiliikkk_ || 😂keren pak Muh 👏🤣
gls_4a || Vlog ytb
ad.desi || 😂😂😂😂😂😂
muhamadhabbib261 || WKWKWK alhamdulillah happy ending
ayuninverse || 🤣🤣🤣
neng_dinihardianti92 || Puas bgt yg terakhir 🤣🤣🤣
neng_dinihardianti92 || 😂😂😂
ellgyosandra_dewwie || gebrakan baru😭
twintwint_ || @risa_saraswati teh ajak penyelusuran😂
frsputriii || 😭🤣
andihardianti.s.ap || 😭🤣🤣🤣😂😂
saidina8187 || @sarawijayanto @diarymisterisara mbaaakk ajak fadil sama pak muh penelurusan mbaakkkk 🤣🤣🤣🤣🤣
ulfamulyatin || 🤣🤣🤣
yanaafh || Anehnya gue nonton sampe akhir 😭
ftriastrophile_ || HAHAHA ada aj deh😭
itwamlas || 🤣🤣🤣
ibe.1710 || 😭😭😭😭😭😭😭
storiesalia || 🤣🤣
noviirahmadani__ || Sangat menghibur 😭🤣🤣🤣🤣
iikkurnia17 || @sarawijayanto niii orangnya ngode nii mau ikut dukding  seru kali yaa klo dukding fadil sama pak muh
atikwijayanti007 || Haha tbtb uji nyali😭
ameliaminarti || Ya Allah Fadil 😭🤣
rifa_lyandaa || Next episode kapan tayang🤣
akuinayahhhh || Keren idenya buat endorse gada duanya😍
pysyhy || Pass ending video di sembur engga tuhhh sama pak muh😂🤣🤣
dora.emongood || 😂
srimulyanni0 || 😭🤣🤣
lheamomo || @sarawijayanto harusnya diajak 😂
uyaaharas || Undang lagsung mbak @sarawijayanto
riz_ichaaa || Blm mulai aja udh tau pasti ga bakaln horor 😭
anggitamhi || @sarawijayanto ajak dia kak
yesmidelll || rumah tua 20 tahun katanya 😂
andri.tarigann || Makasih pak muh🤣sembur aja sembur
ayuuwidya || 😭😭😭
kagoshima.lychee || Terakhir ngakak bgt
rptiwi29 || 😂😂😂😂😂 rasain di sembur kan lgsg sadar
sariananda_ || 😂😂😂😂
nie_vyaw || Pakk... Mau aja dikerjain. Ahhahahaa
myglatuheru || Kak @sarawijayanto ajakin kolab Mereke please
maariyaambr_ || 😭😭😭😭😭
_pputtaprlnti || 😭😭😭😭😭😭😭😭😭😭🤣
alifahkhz || 🤣🤣🤣
riska.de || 😭😭
cahyanurjannah_ || Kena sembur lu🤣
adinda_thata_yunita || Mbaa Fadil harus diajak penelusuran please @sarawijayanto
naverdamus || 🤣
callmevirli || 😂😂😂
guruhbudhi || beneran di sembur anji😭
aidoe04___ || Bang fadil nanti liat timnas main ga bang
mira_madanixyz || 🤣😭
ciciihengchan || Pasti settingan 😌
cyyuuu.zo || Apaaikkkk😭
anivedlr || 😂😂😂
nilaaja2 || dulu nonton terus acara ini.. 😂 acara favorit pada zamannya
syarif.dianhidayat || 🤣🤣🤣🤣
sustriana__ || 😂😂😂
achrozzzaq || Suka banget deh pas ada adegan sembur menyembur nya🤣
danishwantigunawan || 😂😂😂😂🤣🤣🤣
tamami_97 || Berasa nonton toodler deh gue 😂
rsameliasaputra || 😭🤣
suci23396 || Rumah nya sibuk bgt 😭 bisa jd apaan aja bahkan bisa jd tempat terbengkalai uji nyali
hindshall.co || Diiil🤣😭
neniwsp || Tolonggggg
fiitraskiaa_ || Yaampun😭🤣
ranufa29 || @tim_jurnalrisa teh @risa_saraswati bisa kali diajak uji nyali benerann 😋
salwanurhidayah_ || 🤣🤣🤣
puputng_ || 😂
lirik.sejenak || Day 1 meta ai di prank🤣🤣🤣
cputrifazn || 😭😭😭
dinalutfianaaa || ampuh semburan nya Pak muh 😂😂😂
triyuni.wulandari.1 || Bisa"nya pas pak Muh lewat gue kaget😭
alfiynt_13 || Allahuakbarrr Bapaluuu bang 😭🤣🤣❤
zkfmfflsk || 🤣🤣🤣🤣
riditaaaas || 😭
umalmtlazzh || @sarawijayanto liat ini 😭😭
apriliahihihiii || @sarawijayanto ajak penelusuran ga sehhh😭🤣
apriliahihihiii || 😂😂😂😂
___trnfaridaa || 🤣🤣🤣
